name,lat,lng
AMK-0307,1.377874,103.840686
AMK-0308,1.37752,103.840742
AMK-0309,1.379167,103.841023
AMK-030A,1.379134,103.840656
AMK-030B,1.379307,103.842351
AMK-030C,1.379347,103.843892
AMK-030D,1.37935,103.842867
AMK-030E,1.379054,103.844133
AMK-030F,1.379323,103.842477
AMK-0310,1.378266,103.84404
AMK-0311,1.378202,103.843296
AMK-0312,1.378242,103.843594
AMK-0313,1.378252,103.843848
AMK-0314,1.378289,103.844196
AMK-0315,1.379001,103.843822
AMK-0316,1.377753,103.843558
AMK-0317,1.37787,103.844146
AMK-0318,1.377773,103.842629
AMK-0319,1.377763,103.842586
AMK-031A,1.371016,103.848202
AMK-031B,1.37169,103.847122
AMK-031C,1.372246,103.846238
AMK-031D,1.373871,103.845926
AMK-031E,1.369148,103.833959
AMK-031F,1.369207,103.834071
AMK-0320,1.366135,103.844433
AMK-0321,1.366163,103.844461
AMK-0322,1.366098,103.844456
AMK-0323,1.366076,103.844562
AMK-0324,1.365472,103.84396
AMK-0325,1.36546,103.843991
AMK-0326,1.365472,103.843923
AMK-0327,1.365502,103.843942
AMK-0328,1.365442,103.844014
AMK-0329,1.365402,103.844053
AMK-032A,1.364834,103.845581
AMK-032B,1.364972,103.843653
AMK-032C,1.364959,103.843672
AMK-032D,1.36512,103.843719
AMK-032E,1.365112,103.843758
AMK-032F,1.365088,103.843797
AMK-0330,1.365079,103.843808
AMK-0331,1.364997,103.843804
AMK-0332,1.365027,103.843725
AMK-0333,1.364934,103.843707
AMK-0334,1.365021,103.84374
AMK-0335,1.368081,103.857379
AMK-0336,1.368079,103.857533
AMK-0337,1.368089,103.857453
AMK-0338,1.368086,103.857666
